user,timestamp,distance,widths,time,pos_pointer,pos_target,moffset-x,moffset-y
1,2014-04-26T11:53:21, 200, 40,1149,"419,1","612,384",1,-9
1,2014-04-26T11:53:25, 300, 60,529,"613,376","462,384",10,4
1,2014-04-26T11:53:26, 200, 60,424,"473,388","562,384",7,3
1,2014-04-26T11:53:27, 400, 100,575,"565,388","362,384",-8,3
1,2014-04-26T11:53:27, 400, 80,518,"365,387","562,384",-9,-3
1,2014-04-26T11:53:28, 200, 40,585,"551,380","462,384",8,-3
1,2014-04-26T11:53:29, 400, 40,1420,"473,381","662,384",14,-1
1,2014-04-26T11:53:30, 200, 100,350,"672,383","562,384",31,-5
1,2014-04-26T11:53:31, 100, 60,350,"594,379","612,384",15,1
1,2014-04-26T11:53:31, 200, 40,563,"621,383","512,384",3,4
1,2014-04-26T11:53:32, 400, 40,1036,"521,389","712,384",9,-4
1,2014-04-26T11:53:33, 400, 80,642,"720,380","512,384",3,-8
1,2014-04-26T11:53:34, 400, 60,796,"516,376","712,384",30,-1
1,2014-04-26T11:53:35, 300, 40,552,"741,383","562,384",5,-6
1,2014-04-26T11:53:36, 200, 60,407,"568,378","662,384",-14,-2
1,2014-04-26T11:53:36, 100, 40,293,"647,382","612,384",2,5
1,2014-04-26T11:53:37, 300, 100,563,"614,390","762,384",-17,-4
1,2014-04-26T11:53:38, 300, 100,665,"742,380","612,384",22,1
1,2014-04-26T11:53:38, 300, 100,406,"635,386","762,384",-7,-1
1,2014-04-26T11:53:39, 400, 100,485,"754,383","562,384",10,-5
1,2014-04-26T11:53:40, 200, 40,744,"574,379","662,384",0,-3
1,2014-04-26T11:53:40, 200, 80,530,"659,381","562,384",16,-4
1,2014-04-26T11:53:41, 100, 80,339,"579,380","612,384",25,0
1,2014-04-26T11:53:42, 300, 80,440,"631,384","462,384",-22,-10
1,2014-04-26T11:53:42, 100, 100,387,"441,374","512,384",17,-4
1,2014-04-26T11:53:43, 400, 100,504,"526,380","312,384",-8,-11
1,2014-04-26T11:53:44, 400, 80,799,"304,374","512,384",3,-9
1,2014-04-26T11:53:44, 300, 40,653,"513,375","362,384",-12,-2
1,2014-04-26T11:53:45, 300, 40,632,"352,382","512,384",-11,-2
1,2014-04-26T11:53:46, 100, 100,226,"491,384","462,384",1,7
1,2014-04-26T11:53:47, 100, 100,315,"464,391","512,384",41,3
1,2014-04-26T11:53:47, 100, 60,350,"552,387","462,384",-4,1
1,2014-04-26T11:53:48, 400, 40,664,"461,385","662,384",17,-1
1,2014-04-26T11:53:48, 100, 60,349,"677,383","612,384",3,2
1,2014-04-26T11:53:49, 100, 40,451,"620,386","662,384",-3,1
1,2014-04-26T11:53:50, 200, 100,328,"657,385","562,384",-4,0
1,2014-04-26T11:53:50, 200, 80,372,"561,384","662,384",-15,-3
1,2014-04-26T11:53:51, 300, 80,373,"644,381","512,384",-15,1
1,2014-04-26T11:53:51, 300, 80,675,"501,385","662,384",-24,-7
1,2014-04-26T11:53:52, 400, 60,541,"637,377","462,384",-27,-2
1,2014-04-26T11:53:53, 200, 100,429,"437,383","562,384",23,-2
1,2014-04-26T11:53:54, 300, 60,542,"584,382","412,384",4,-4
1,2014-04-26T11:53:54, 100, 80,395,"417,380","462,384",-5,6
1,2014-04-26T11:53:55, 100, 60,309,"455,390","412,384",-1,7
1,2014-04-26T11:53:55, 200, 60,552,"413,392","512,384",9,4
1,2014-04-26T11:53:56, 300, 60,812,"519,388","362,384",7,0
1,2014-04-26T11:53:57, 400, 80,732,"371,384","562,384",14,-19
1,2014-04-26T11:53:58, 300, 60,732,"576,366","412,384",13,0
1,2014-04-26T11:53:59, 100, 80,506,"425,385","462,384",5,9
1,2014-04-26T11:54:00, 400, 60,607,"466,394","262,384",-1,5
1,2014-04-26T11:54:00, 100, 80,810,"265,389","312,384",22,9
1,2014-04-26T11:54:01, 200, 80,349,"331,393","212,384",2,-1
1,2014-04-26T11:54:02, 300, 100,428,"218,383","362,384",17,3
1,2014-04-26T11:54:03, 400, 60,541,"375,387","162,384",-1,-11
1,2014-04-26T11:54:03, 100, 100,451,"162,373","212,384",21,0
1,2014-04-26T11:54:04, 200, 100,485,"234,385","112,384",23,5
1,2014-04-26T11:54:04, 300, 40,777,"137,390","262,384",13,6
1,2014-04-26T11:54:05, 400, 40,1025,"273,390","462,384",11,1
1,2014-04-26T11:54:07, 200, 80,743,"473,386","562,384",29,10
1,2014-04-26T11:54:08, 100, 40,699,"589,393","512,384",1,8
1,2014-04-26T11:54:08, 200, 60,418,"514,392","612,384",19,8
1,2014-04-26T11:54:09, 300, 80,462,"629,392","462,384",-3,8
1,2014-04-26T11:54:10, 100, 40,337,"462,392","512,384",4,4
1,2014-04-26T11:54:10, 400, 100,439,"512,387","312,384",30,-4
